rank	word	occurrences (ppm)	lemma forms
959.	vidas	91	vida
960.	sucedió	91	suceder
961.	oí	91	oír
962.	peligroso	91	peligroso
963.	dirección	91	dirección
964.	libertad	91	libertad
965.	jesús	91	Jesús
966.	ocurrió	91	ocurrir
967.	veré	91	ver
968.	sueños	91	sueño
969.	pudiera	91	poder
970.	detective	90	detective
971.	sorpresa	90	sorpresa
972.	tuya	90	tuyo
973.	pies	90	pie
974.	club	90	club
975.	terminado	90	terminar
976.	infierno	90	infierno
977.	creía	90	creer
978.	luna	90	luna
979.	salvar	90	salvar
980.	carta	90	carta
981.	estés	90	estar
982.	cielos	89	cielo
983.	teniente	89	teniente
984.	encuentra	89	encontrar
985.	veamos	89	ver
986.	quise	89	querer
987.	escúchame	89	escuchar
988.	necesitan	89	necesitar
989.	ambos	89	ambos ambo
990.	decisión	89	decisión
991.	enemigo	89	enemigo
992.	hicimos	89	hacer
993.	dulce	88	dulce
994.	pruebas	88	prueba probar
995.	querías	88	querer
996.	abuelo	88	abuelo
997.	totalmente	88	totalmente
998.	mirando	88	mirar
999.	vayan	88	ir
1000.	carrera	88	carrera
