rank	word	occurrences (ppm)	lemma forms
4381.	preocupen	15	preocupar
4382.	pistolas	15	pistola
4383.	gane	15	ganar
4384.	sos	15	ser
4385.	niveles	15	nivel
4386.	ganaste	15	ganar
4387.	considerando	15	considerar
4388.	capital	15	capital
4389.	cambie	15	cambiar
4390.	ánimo	15	ánimo
4391.	utilizar	15	utilizar
4392.	lograrlo	15	lograr
4393.	llévate	15	llevar
4394.	gafas	15	gafas
4395.	espíritus	15	espíritu
4396.	preguntaste	15	preguntar
4397.	pagará	15	pagar
4398.	maíz	15	maíz
4399.	estacionamiento	15	estacionamiento
4400.	contactos	15	contacto contactar
4401.	aguja	15	aguja
4402.	trenes	15	tren
4403.	soporto	15	soportar
4404.	sacaré	15	sacar
4405.	oido	15	oído
4406.	fortaleza	15	fortaleza
4407.	corea	15	corea
4408.	conversar	15	conversar
4409.	computadoras	15	computadora
4410.	cálmese	15	calmar
4411.	volante	15	volante
4412.	sucederá	15	suceder
4413.	decías	15	decir
4414.	data	15	data
4415.	cuente	15	contar
4416.	civilización	15	civilización
4417.	cabrones	15	cabrón
4418.	arruinar	15	arruinar
4419.	vampiro	14	vampiro
4420.	tocó	14	tocar
4421.	regresé	14	regresar
4422.	pases	14	pasar
4423.	fantástica	14	fantástico
4424.	facil	14	fácil
4425.	estabamos	14	estar
4426.	diera	14	dar
4427.	detenga	14	detener
4428.	violación	14	violación
4429.	hemorragia	14	hemorragia
4430.	fianza	14	fianza
4431.	docena	14	docena
4432.	centavo	14	centavo
4433.	célula	14	célula
4434.	carreras	14	carrera
4435.	callado	14	callado callar
4436.	rodilla	14	rodilla
4437.	prometes	14	prometer
4438.	profundamente	14	profundamente
4439.	posiciones	14	posición
4440.	hicieras	14	hacer
4441.	furioso	14	furioso
4442.	desperté	14	despertar
4443.	comes	14	comer
4444.	ciega	14	ciego
4445.	cicatriz	14	cicatriz
4446.	bebidas	14	bebida bebido beber
4447.	acércate	14	acercar
4448.	tiró	14	tirar
4449.	policial	14	policial
4450.	pasear	14	pasear
4451.	masa	14	masa
4452.	llegues	14	llegar
4453.	global	14	global
4454.	escapado	14	escapado escapar
4455.	dinos	14	decir
4456.	cuarta	14	cuarto
4457.	bienes	14	bien
4458.	aparato	14	aparato
4459.	sostén	14	sostén sostener
4460.	realizar	14	realizar
4461.	permitiré	14	permitir
4462.	orgullosos	14	orgulloso
4463.	corten	14	cortar
4464.	comisión	14	comisión
4465.	vidrio	14	vidrio
4466.	presa	14	presa preso
4467.	ocupados	14	ocupado ocupar
4468.	morfina	14	morfina
4469.	habrían	14	haber
4470.	columna	14	columna
4471.	sacaron	14	sacar
4472.	patas	14	pata
4473.	oírme	14	oír
4474.	ocultar	14	ocultar
4475.	objeción	14	objeción
4476.	maneja	14	manejar
4477.	largas	14	largo largar
4478.	generalmente	14	generalmente
4479.	fuentes	14	fuente
4480.	cubrir	14	cubrir
4481.	ataca	14	atacar
4482.	tenis	14	tenis
4483.	santos	14	santo
4484.	potencial	14	potencial
4485.	plano	14	plano
4486.	levante	14	levantar
4487.	escala	14	escala escalar
4488.	enfrentar	14	enfrentar
4489.	cuánta	14	cuánto cuanto
4490.	sobra	14	sobra sobrar
4491.	rumor	14	rumor
4492.	páginas	14	página
4493.	órganos	14	órgano
4494.	león	14	león
4495.	entras	14	entrar
4496.	decían	14	decir
4497.	chinos	14	chino
4498.	brujas	14	bruja
4499.	barbara	14	bárbaro Barbara
4500.	admiro	14	admirar
4501.	voto	14	voto votar
4502.	volvieron	14	volver
4503.	suelte	14	soltar
4504.	reto	14	reto retar
4505.	metes	14	meter
4506.	infarto	14	infarto
4507.	cuyo	14	cuyo
4508.	construyó	14	construir
4509.	boleto	14	boleto
4510.	besar	14	besar
4511.	portal	14	portal
4512.	ponemos	14	poner
4513.	monte	14	monte
4514.	discusión	14	discusión
