"1_Mot"	"2_Phono"	"3_Phono_IPA"	"4_Lemme"	"5_Cgram"	"6_CgramOrtho"	"7_Genre"	"8_Nombre"	"9_InfoVER"	"10_FreqMot"	"11_FreqOrtho"	"12_FreqLemme"	"13_CDOrtho"	"14_IsLem"	"15_NbLettres"	"16_NbPhons"	"17_OLD20"	"18_PLD20"	"19_CVOrtho"	"20_CVPhono"	"21_VoisOrtho"	"22_VoisPhono"	"23_NbHomog"	"24_NbHomoph"	"25_SyllPhono"	"26_SyllNb"	"27_SyllCV"	"28_PUOrtho"	"29_PUPhon"	"30_MorphoBase"	"31_MorphoStruct"	"32_MorphoDecomp"	"33_Preval"	"34_PrevalNb"	"35_RT_FLP"	"36_zRT_FLP"	"37_Err_FLP"
le	l°	lə	le	PRO:per	NOM,ART:def,PRO:per	m	s	""	3362.661	16539.044	9593.047	99.89896	1	2	2	1	1.6	CV	CVV	18	78	2	2	l°	1	CV	2	3	le	"0-1-0"	/le			597.7916667	-0.591780532	0.04
l'	l	l	l'	PRO:per	ART:def,NOM,PRO:per	""	s	""	3288.589	11161.256	9593.047	99.66167	1	2	1	1.2	1	C'	C	15	151	2	6	l	1	C	2	1	le	"0-1-0"	/l(e)					
est	e	e	être	AUX	AUX,ADJ,VER,NOM	""	s	ind:pre:3	3264.870	22655.332	8402.797	99.87906	0	3	1	1.3	1	VCC	V	3	75	3	10	e	1	V	3	1	est	"0-1-0"	/est	100	19	645.6	-0.509296297	0
moi	mwa	mwa	moi	PRO:per	NOM,PRO:per	""	s	""	3250.123	3272.823	5018.310	98.94060	1	3	3	1	1	CVV	CYV	16	20	1	3	mwa	1	CYV	3	3	moi	"0-1-0"	/moi			594.7916667	-0.727459573	0
va	va	va	aller	VER	ONO,VER	m	s	ind:pre:3,imp:pre:2	3137.911	3141.883	9795.946	98.69871	0	2	2	1	1	CV	CV	22	30	1	2	va	1	CV	2	2	""	"0-1-0"	/va	100	17	576.2608696	-0.749547944	0.08
oui	wi	wi	oui	ADV	NOM,ADV	""	""	""	3111.411	3111.494	3112.547	97.73576	1	3	2	1	1	VVV	YV	14	26	1	7	wi	1	YV	3	2	oui	"0-1-0"	/oui			624.4347826	-0.549961197	0.04
faire	fER	fɛʁ	faire	VER	VER	m	s	inf,	3038.506	3040.193	9061.728	99.02633	1	5	3	1.4	1	CVVCV	CVC	9	144	0	6	fER	1	CVC	5	3	faire	"0-1-0"	/faire	100	19	661.14	-0.300255684	0
en	@	ɑ̃	en	PRO:per	PRO:per,PRE	""	""	""	3017.880	9065.551	3091.585	99.73515	1	2	1	1	1	VC	V	13	37	1	5	@	1	V	2	1	en	"0-1-0"	/en			725.9193548	-0.010399499	0.086956522
ils	il	il	ils	PRO:per	NOM,PRO:per	m	p	""	2940.297	2940.864	16479.203	97.75566	1	3	2	1.45	1	VCC	VC	2	17	1	9	il	1	VC	3	2	il	"0-1-0"	/il			723.2631579	-0.004418006	0.208333333
sur	syR	syʁ	sur	PRE	ADJ,PRE	""	""	""	2885.345	2949.117	2885.832	98.97581	1	3	3	1	1	CVC	CVC	18	129	1	9	syR	1	CVC	3	3	""	"1-0-0"	_sur			612.2857143	-0.616005751	0.125
